"nameEn","nameJa","descriptionEn","descriptionJa","price","duration","rating","image","locationEn","locationJa"
"Dental Scaling First Visit (1-4kg)","歯石除去 初回（1〜4kg）","First visit dental scaling for dogs 1-4kg. Initial consultation fee: 1,650 yen.","1〜4kgの犬の歯石除去初回（初診料：1,650円）。","5500","45 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1124","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling First Visit (4-8kg)","歯石除去 初回（4〜8kg）","First visit dental scaling for dogs 4-8kg. Initial consultation fee: 1,650 yen.","4〜8kgの犬の歯石除去初回（初診料：1,650円）。","6600","45 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1125","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling First Visit (8-12kg)","歯石除去 初回（8〜12kg）","First visit dental scaling for dogs 8-12kg. Initial consultation fee: 1,650 yen.","8〜12kgの犬の歯石除去初回（初診料：1,650円）。","7700","45 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1126","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling First Visit (12-18kg)","歯石除去 初回（12〜18kg）","First visit dental scaling for dogs 12-18kg. Initial consultation fee: 1,650 yen.","12〜18kgの犬の歯石除去初回（初診料：1,650円）。","8800","45 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1127","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling First Visit (18-20kg)","歯石除去 初回（18〜20kg）","First visit dental scaling for dogs 18-20kg. Initial consultation fee: 1,650 yen.","18〜20kgの犬の歯石除去初回（初診料：1,650円）。","9900","45 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1128","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling Follow-up Visit (1-4kg)","歯石除去 再診（1〜4kg）","Follow-up dental scaling for dogs 1-4kg. Follow-up fee: 550 yen.","1〜4kgの犬の歯石除去再診（再診料：550円）。","7700","30 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1129","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling Follow-up Visit (4-8kg)","歯石除去 再診（4〜8kg）","Follow-up dental scaling for dogs 4-8kg. Follow-up fee: 550 yen.","4〜8kgの犬の歯石除去再診（再診料：550円）。","8800","30 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1130","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling Follow-up Visit (8-12kg)","歯石除去 再診（8〜12kg）","Follow-up dental scaling for dogs 8-12kg. Follow-up fee: 550 yen.","8〜12kgの犬の歯石除去再診（再診料：550円）。","9900","30 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1131","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling Follow-up Visit (12-18kg)","歯石除去 再診（12〜18kg）","Follow-up dental scaling for dogs 12-18kg. Follow-up fee: 550 yen.","12〜18kgの犬の歯石除去再診（再診料：550円）。","12100","30 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1132","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling Follow-up Visit (18-20kg)","歯石除去 再診（18〜20kg）","Follow-up dental scaling for dogs 18-20kg. Follow-up fee: 550 yen.","18〜20kgの犬の歯石除去再診（再診料：550円）。","13200","30 minutes","4.8","","PET-SPA CARE+CURE Emiterasu Tokorozawa 1F, Emiterasu Tokorozawa, 10-1 Higashisumiyoshi, Tokorozawa City, Saitama Prefecture 359-1133","PET-SPA CARE+CURE エミテラス所沢

〒359-1124 所沢市東住吉10番1号 エミテラス所沢1階"
"Dental Scaling House Call -(1-4kg)","歯石除去 往診（1〜4kg）","House call dental scaling for dogs 1-4kg","流山おおたかの森店の往診歯石除去（1〜4kg）。","11000","60 minutes","4.8","","PET-SPA Nagareyama Otakanomori Store 〒270-0139 1-5-1 Otakanomori Minami, Nagareyama City, Chiba Prefecture, Nagareyama Otakanomori S･C ANNEX 1F, inside Pet Paradise DX","PET-SPA 流山おおたかの森店

〒270-0139　千葉県流山市おおたかの森南1-5-1 流山おおたかの森S･C ANNEX1F ペットパラダイスDX内
"
"Dental Scaling House Call -(4-8kg)","歯石除去 往診（4〜8kg）","House call dental scaling for dogs 4-8kg","流山おおたかの森店の往診歯石除去（4〜8kg）。","12100","60 minutes","4.8","","PET-SPA Nagareyama Otakanomori Store 〒270-0139 1-5-1 Otakanomori Minami, Nagareyama City, Chiba Prefecture, Nagareyama Otakanomori S･C ANNEX 1F, inside Pet Paradise DX","PET-SPA 流山おおたかの森店

〒270-0139　千葉県流山市おおたかの森南1-5-1 流山おおたかの森S･C ANNEX1F ペットパラダイスDX内
"
"Dental Scaling House Call -(8-12kg)","歯石除去 往診（8〜12kg）","House call dental scaling for dogs 8-12kg ","流山おおたかの森店の往診歯石除去（8〜12kg）。","13200","60 minutes","4.8","","PET-SPA Nagareyama Otakanomori Store 〒270-0139 1-5-1 Otakanomori Minami, Nagareyama City, Chiba Prefecture, Nagareyama Otakanomori S･C ANNEX 1F, inside Pet Paradise DX","PET-SPA 流山おおたかの森店

〒270-0139　千葉県流山市おおたかの森南1-5-1 流山おおたかの森S･C ANNEX1F ペットパラダイスDX内
"
"Dental Scaling House Call - (12-18kg)","歯石除去 往診（12〜18kg）","House call dental scaling for dogs 12-18kg ","流山おおたかの森店の往診歯石除去（12〜18kg）。","14300","60 minutes","4.8","","PET-SPA Nagareyama Otakanomori Store 〒270-0139 1-5-1 Otakanomori Minami, Nagareyama City, Chiba Prefecture, Nagareyama Otakanomori S･C ANNEX 1F, inside Pet Paradise DX","PET-SPA 流山おおたかの森店

〒270-0139　千葉県流山市おおたかの森南1-5-1 流山おおたかの森S･C ANNEX1F ペットパラダイスDX内
"
