"nameEn","nameJa","descriptionEn","descriptionJa","price","duration","rating","image","petSize","locationEn","locationJa","checkIn","checkOut"
"Pet Hotel Suite (Small Dogs)","ペットホテル スイートルーム（小型犬）","Private premium suite room for dogs up to 7kg","7kgまでの小型犬向けプレミアムスイートルーム","13600","1 day","4.9","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780047715/room-s-sweet_zbqu4g.jpg","Small","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0023","品川芝浦〒108-0023 東京都港区芝浦3-14-17 ","10:00:00","19:00:00"
"Pet Hotel Tower Room A (Small Dogs)","ペットホテル タワールームA（小型犬）","Comfortable tower room for dogs up to 7kg","7kgまでの小型犬向け快適なタワールーム","11000","1 day","4.8","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780050278/room-s-towerA_ysfoda.jpg","Small","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0024","品川芝浦〒108-0023 東京都港区芝浦3-14-18","10:00:00","19:00:00"
"Pet Hotel Tower Room C (Small Dogs)","ペットホテル タワールームC（小型犬）","Standard tower room for dogs up to 7kg","7kgまでの小型犬向けスタンダードルーム","9000","1 day","4.7","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780050322/room-s-towerC_f8k5gi.jpg","Small","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0025","品川芝浦〒108-0023 東京都港区芝浦3-14-19","10:00:00","19:00:00"
"Pet Hotel House (Small Dogs)","ペットホテル ハウス（小型犬）","Economical house stay for dogs up to 7kg","7kgまでの小型犬向けリーズナブルな宿泊施設","7800","1 day","4.6","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780050361/room-s-house_htbt8w.jpg","Small","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0026","品川芝浦〒108-0023 東京都港区芝浦3-14-20","10:00:00","19:00:00"
"Pet Hotel Suite (Medium Dogs)","ペットホテル スイートルーム（中型犬）","Private premium suite room for dogs between 7kg and 15kg","7kg〜15kgの中型犬向けプレミアムスイートルーム","15600","1 day","4.9","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780047715/room-s-sweet_zbqu4g.jpg","Medium","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0027","品川芝浦〒108-0023 東京都港区芝浦3-14-21","10:00:00","19:00:00"
"Pet Hotel Tower Room A (Medium Dogs)","ペットホテル タワールームA（中型犬）","Comfortable tower room for dogs between 7kg and 15kg","7kg〜15kgの中型犬向け快適なタワールーム","13500","1 day","4.8","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780050278/room-s-towerA_ysfoda.jpg","Medium","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0028","品川芝浦〒108-0023 東京都港区芝浦3-14-22","10:00:00","19:00:00"
"Pet Hotel Tower Room C (Medium Dogs)","ペットホテル タワールームC（中型犬）","Standard tower room for dogs between 7kg and 15kg","7kg〜15kgの中型犬向けスタンダードルーム","11600","1 day","4.7","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780050322/room-s-towerC_f8k5gi.jpg","Medium","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0029","品川芝浦〒108-0023 東京都港区芝浦3-14-23","10:00:00","19:00:00"
"Pet Hotel House (Medium Dogs)","ペットホテル ハウス（中型犬）","Economical house stay for dogs between 7kg and 15kg","7kg〜15kgの中型犬向けリーズナブルな宿泊施設","10300","1 day","4.6","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780050877/room-m-house_eloayr.jpg","Medium","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0030","品川芝浦〒108-0023 東京都港区芝浦3-14-24","10:00:00","19:00:00"
"Pet Hotel Suite (Large Dogs)","ペットホテル スイートルーム（大型犬）","Premium suite room for dogs between 16kg and 30kg","16kg〜30kgの大型犬向けプレミアムスイートルーム","17700","1 day","4.9","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780047715/room-s-sweet_zbqu4g.jpg","Large","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0031","品川芝浦〒108-0023 東京都港区芝浦3-14-25","10:00:00","19:00:00"
"Pet Hotel House (Large Dogs)","ペットホテル ハウス（大型犬）","Comfortable house stay for dogs between 16kg and 30kg","16kg〜30kgの大型犬向け宿泊施設","11600","1 day","4.7","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780051044/room-b-house_afr2jz.jpg","Large","Shinagawa Shibaura ,Shibaura, Minato-ku, Tokyo 108-0032","品川芝浦〒108-0023 東京都港区芝浦3-14-26","10:00:00","19:00:00"
"Pet Boarding (Up to 10kg)","小型犬ペットホテル","Overnight boarding for dogs up to 10kg","10kgまでの犬向け宿泊サービス","7000","1 night","4.8","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780051264/621352_c9fb9a12a7fa45a58cc4c911810a7c40_mv2_xngtzj.jpg","Small (up to 10kg)","4-chōme-1-7 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan","日本、〒160-0022 東京都新宿区新宿４丁目１−７","08:00:00","20:00:00"
"Pet Boarding (10kg-15kg)","中型犬ペットホテル","Overnight boarding for dogs between 10kg and 15kg","10kg〜15kgの犬向け宿泊サービス","7500","1 night","4.8","https://res.cloudinary.com/dcrsau6jm/image/upload/v1780051285/621352_291f05332bec4ce6b3a855a59bc0af3e_mv2_z5gs9d.jpg","Medium (10-15kg)","4-chōme-1-7 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan","日本、〒160-0022 東京都新宿区新宿４丁目１−７","08:00:00","20:00:00"
